Column,Name of Column,Test question,Data Type,Data Processing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,78.1,1,4,,,,,FALSE,,2|3|6,1,149,3,0,1,1|5|6,,0,,9,1,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,,31,30/11/2018
,85.4,1,2,,,,,FALSE,,1|2|4|6,2,120,3,1,1,3|5|6,,0,,17,5,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,3,FALSE,FALSE,,48,18/12/2018
,59.4,2,4,,,,,FALSE,,2|3|4,1,69,3,0,1,1|2|5|6,,0,,10,5,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,,50,18/12/2018
,62.8,1,3,,,,1,FALSE,FALSE,1|2|4,2,81,3,0,1,9|2|3|4|5|6,,0,1,8,7|12,2,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,FALSE,30,27/11/2018
,86.5,2,3,,,,,FALSE,,2|4,3,108,3,1,1,1|2|5|6,,0,,73,1,2,FALSE,2,2,FALSE,FALSE,0,,FALSE,1,13,FALSE,FALSE,,1,09/11/2018
,87.5,1,3,,,,0,FALSE,FALSE,1,2,74,3,0,1,8|2|3|5|6,,0,1,7,3,2,TRUE,2,2,FALSE,FALSE,0,,FALSE,1,8,FALSE,FALSE,FALSE,30,03/12/2018
,66.4,1,2,,,,,FALSE,,1|2|4,2,102,2,0,1,1|5|6,,0,,34,1,2,FALSE,2,1,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,,46,12/12/2018
,70.5,2,4,,,,,FALSE,,1|2,2,79,3,0,1,1|2|3|4|6,,0,,7,3,2,TRUE,2,0,FALSE,FALSE,0,,FALSE,1,11,FALSE,FALSE,,,
,61.8,1,4,,,,1,FALSE,FALSE,1,1,64,2,0,1,9|2,,0,2,11,3,2,TRUE,1,0,FALSE,FALSE,5,,FALSE,1,8,FALSE,FALSE,FALSE,94,04/02/2019
,64.1,1,2,,,,,FALSE,,4,2,79,3,0,1,1|2|4|5|6,,0,,5,3,2,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,7,FALSE,FALSE,,33,30/11/2018
,72.2,1,4,,,,,FALSE,,2|3,3,119,3,0,1,1|2|5|6,,0,,12,3,2,TRUE,2,0,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,,86,21/01/2019
,71.7,1,2,,,,,FALSE,,0,2,84,3,1,1,1|2|5|6,,0,,11,3,2,TRUE,2,1,FALSE,FALSE,0,,FALSE,1,3,FALSE,FALSE,,19,15/11/2018
,78.8,2,4,,,,,FALSE,,2,1,62,3,0,1,1|2|4|5,,0,,20,3,2,TRUE,4,1,FALSE,FALSE,0,,FALSE,1,3,FALSE,FALSE,,55,21/12/2018
,62.8,1,2,,,,,FALSE,,4,1,92,1,0,1,1|2|5|6,,0,,11,1,3,FALSE,1,,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,,,
,73.3,1,3,,,,,FALSE,,2,1,66,2,0,1,1|2|4|5|6,,0,,51,3,2,TRUE,2,1,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,,53,17/12/2018
,69.2,2,2,,,,,FALSE,,0,2,68,3,0,1,1|2,,0,,6,3,2,FALSE,2,,FALSE,FALSE,0,,FALSE,1,4,,FALSE,,,
,67.3,1,3,,,,1,FALSE,FALSE,2,2,97,2,0,1,1|2|3|4|5|6,,0,,9,3,1,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,7,FALSE,FALSE,FALSE,98,04/02/2019
,82.8,1,2,,,,0,FALSE,FALSE,1|2|3|4,2,88,3,1,1,2|4|7,,0,2,33,7,2,FALSE,2,4,TRUE,TRUE,2|5,,TRUE,1,16,FALSE,FALSE,FALSE,,
,85.2,1,2,,,,3,FALSE,FALSE,2|3|4|6,1,151,3,0,1,8|2|5|6,,0,,5,7,2,TRUE,2,1,FALSE,FALSE,0,,FALSE,1,12,FALSE,FALSE,FALSE,89,28/01/2019
,63.1,1,2,,,,1,FALSE,FALSE,2,1,80,2,0,1,2|5|6,,0,1,4,7,2,TRUE,2,0,FALSE,FALSE,0,,FALSE,1,3,FALSE,FALSE,FALSE,38,03/12/2018
,63.7,2,3,,,,,FALSE,,3,3,63,2,0,1,1|2|5,,0,,8,3,2,TRUE,1,,FALSE,FALSE,0,,FALSE,1,5,FALSE,FALSE,,37,04/12/2018
,82,2,4,,,,,FALSE,,1|3|4|5,2,94,3,0,1,1|2|5|6,,0,,13,4,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,2,TRUE,FALSE,,40,04/12/2018
,76,1,1,,,,,FALSE,,1|2,2,78,3,0,1,1|2,,0,,,3,2,TRUE,2,1,FALSE,FALSE,0,,FALSE,1,3,,FALSE,,,
,80.7,1,2,,,,1,FALSE,TRUE,2|4|7 ,2,81,3,0,1,1|2|3|4|5,,0,,15,3,2,TRUE,2,0,FALSE,FALSE,0,,FALSE,1,3,FALSE,FALSE,,68,03/01/2019
,80.9,1,4,,,,1,FALSE,FALSE,1|2,2,82,3,0,1,1|2|4|5|6,,0,,5,5,2,TRUE,1,,FALSE,FALSE,0,,FALSE,1,3,FALSE,FALSE,FALSE,83,16/01/2019
,67.8,2,3,,,,1,FALSE,FALSE,1|2|3|4|9,2,71,3,0,1,9|2|3|4|5|6,,0,1,7,7|12,2,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,FALSE,33,27/11/2018
,51.4,1,4,,,,,FALSE,,0,1,98,2,0,1,1|2|5|6,,0,,8,3,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,4,FALSE,FALSE,,,
,71.7,2,3,,,,1,FALSE,FALSE,2,2,67,2,0,1,8|2|5|6,,0,1,10,7|12,2,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,FALSE,43,06/12/2018
,55.1,1,4,,,,1,FALSE,FALSE,2,1,76,3,0,1,9|2|5|6,,0,1,10,11,1,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,FALSE,48,11/12/2018
,70.4,1,2,,,,2,FALSE,FALSE,2|4,2,70,3,1,1,9|2|5,,0,1,19,7|11|12,2,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,FALSE,42,04/12/2018
,77.3,2,3,,,,,FALSE,,0,2,100,2,0,1,1|2,,0,,85,5,2,FALSE,1,,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,,3,26/10/2018
,83.5,1,2,,,,,FALSE,,2|3|4,2,102,3,0,1,1|2|5|6,,0,,5,3,2,TRUE,2,2,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,,41,04/12/2018
,82.6,1,4,,,,1,FALSE,FALSE,1|2|4,1,86,3,0,1,2|4|5|6,,0,3,9,3|11,2,FALSE,2,1,FALSE,FALSE,0,,FALSE,1,5,FALSE,FALSE,FALSE,98,29/01/2019
,63.6,1,2,,,,1,FALSE,FALSE,,1,57,4,0,1,2|8,,0,,4,7,2,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,5,,FALSE,FALSE,,
,80.7,1,2,,,,1,FALSE,FALSE,2|3,2,89,3,0,1,1|2|4,,0,,10,4,2,FALSE,1,,FALSE,FALSE,0,,FALSE,1,63,FALSE,FALSE,FALSE,60,19/02/2019
,75.1,2,2,,,,,FALSE,,1|2,2,78,2,0,1,1|2|3,,0,,7,2,1,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,,51,10/12/2018
,74.8,1,2,,,,,FALSE,,0,3,80,3,0,1,1,,0,,6,3,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,6,FALSE,FALSE,,,
,64.6,1,2,,,,1,FALSE,FALSE,0,2,101,3,0,1,5|6,,0,,12,2,2,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,2,TRUE,FALSE,FALSE,,
,75.3,1,2,,,,,FALSE,,1|2|4,2,119,3,0,1,1|2|3|5,,0,,14,5,2,TRUE,2,,FALSE,FALSE,0,,FALSE,1,33,,FALSE,,,
,76,1,2,,,,1,FALSE,FALSE,0,2,104,2,0,1,2,,0,1,14,7,1,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,FALSE,87,14/01/2019
,67.7,2,3,,,,,FALSE,,2,1,62,3,0,1,1|3|5|6,,0,,8,1,2,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,1,,FALSE,,,
,80.7,1,4,,,,,FALSE,,2|3,2,78,3,0,1,1|2|5|6,,1,,16,3,2,TRUE,2,1,FALSE,FALSE,0,,FALSE,1,17,FALSE,FALSE,,39,27/11/2018
,77.8,2,4,,,,,FALSE,,2,2,71,3,0,1,8|2|4|5|6,,0,,7,3,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,9,FALSE,FALSE,,75,04/01/2019
,61.9,2,4,,,,1,FALSE,FALSE,2,2,57,3,0,1,9|2|6,,0,2,9,11,1,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,FALSE,39,27/11/2018
,85,1,3,,,,1,TRUE,FALSE,1|4|5,2,123,3,1,1,8|2|5|7,,0,,6,11|12,1,FALSE,2,0,FALSE,FALSE,0,,FALSE,1,6,FALSE,FALSE,FALSE,,
,41.1,2,4,,,,,FALSE,,1|2,1,56,3,0,1,1|2|4|5|6,,0,,16,1,2,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,,,
,70.1,2,4,,,,4,FALSE,FALSE,1|2,2,93,3,0,1,9|2|4,,0,1,18,3|11,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,FALSE,90,16/01/2019
,83.4,1,4,,,,,FALSE,,1|2|4,2,134,3,0,1,1|2|4|5|6,,0,,20,1,2,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,,82,08/01/2019
,69.1,2,3,,,,,FALSE,,2,2,55,2,0,1,1|2,,0,,70,3,2,TRUE,1,,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,,49,06/12/2018
,74.1,1,2,,,,,FALSE,,2|4,2,90,3,0,1,1|3,,0,,21,3,2,TRUE,2,1,FALSE,FALSE,0,,FALSE,1,9,FALSE,FALSE,,38,26/11/2018
,69.2,1,2,,,,1,FALSE,FALSE,2|9,2,82,3,0,1,8|3,,0,,26,3,1,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,FALSE,98,23/01/2019
,56.3,1,2,,,,,FALSE,,2,2,89,3,0,1,1|2|4|5|6,,0,,6,3,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,7,FALSE,FALSE,,44,30/11/2018
,55.3,2,2,,,,,FALSE,,2|4,3,63,3,0,1,1,,1,,6,2,3,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,,62,18/12/2018
,72,2,4,,,,3,FALSE,FALSE,1|5,3,80,3,1,1,1|2|3|5|6,,0,,4,2,2,FALSE,2,0,FALSE,FALSE,0,,FALSE,1,5,FALSE,FALSE,FALSE,9,26/10/2018
,77,2,4,,,,,FALSE,,1|2|3,1,45,3,0,1,1|2|6,,0,,13,3,2,TRUE,2,0,FALSE,FALSE,0,,FALSE,1,7,FALSE,FALSE,,28,19/11/2018
,66.9,2,2,,,,,FALSE,,2,1,77,3,0,1,1|2|3|4,,0,,21,3,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,6,FALSE,FALSE,,33,20/11/2018
,56.8,1,4,,,,,FALSE,,2,1,95,2,0,1,1|4|5|6,,0,,13,1,3,FALSE,2,1,FALSE,FALSE,0,,FALSE,1,5,FALSE,FALSE,,48,04/12/2018
,66.5,1,3,,,,,FALSE,,0,1,115,2,0,1,1|2,,0,,42,3,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,,43,28/11/2018
,71,2,2,,,,,FALSE,,2|4,2,158,3,0,1,1|2|4,,0,,7,3,2,TRUE,1,,FALSE,FALSE,0,,FALSE,1,4,,FALSE,,,
,75.6,2,2,,,,,FALSE,,2|5|6,2,96,3,0,1,1|2|3|4,,0,,16,2,1,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,3,FALSE,FALSE,,98,23/01/2019
,72.9,2,4,,,,,FALSE,,1|2,3,64,3,0,1,2,,1,,8,1,2,TRUE,2,,FALSE,FALSE,0,,FALSE,1,15,,FALSE,,,
,69.7,2,4,,,,,FALSE,,1|2,3,84,3,0,1,1|2|4|5|6,,0,,18,3,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,,41,27/11/2018
,74.3,1,4,,,,,FALSE,,2|4,2,79,2,0,1,1|2,,0,,8,4,2,FALSE,4,2,FALSE,FALSE,0,,FALSE,1,10,FALSE,FALSE,,48,04/12/2018
,55.3,2,4,,,,,TRUE,,2,1,35,3,0,1,1|2|4|5|6,,1,,22,3,2,FALSE,2,,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,,37,20/11/2018
,64,1,4,,,,1,TRUE,FALSE,2,1,100,3,0,1,2|5|6,,1,,42,3,2,TRUE,1,0,FALSE,FALSE,1,,FALSE,1,3,FALSE,FALSE,FALSE,87,10/01/2019
,81.9,1,2,,,,,FALSE,,2|3,2,75,3,1,1,1|2|3|4|5|6,,0,,120,3,2,TRUE,2,2,FALSE,FALSE,0,,FALSE,1,4,FALSE,FALSE,,36,21/11/2018
,73.2,1,4,,,,3,FALSE,FALSE,2|4,2,128,3,1,1,9|2|3,,0,,50,7|11,2,FALSE,2,,FALSE,FALSE,1|15,,FALSE,1,4,FALSE,FALSE,FALSE,80,04/01/2019
,80,1,2,,,,1,FALSE,FALSE,2,3,60,2,0,1,1|2|5|6,,0,,9,3,2,TRUE,2,,FALSE,FALSE,13,,FALSE,1,20,TRUE,FALSE,FALSE,,
,74.6,1,4,,,,2,FALSE,FALSE,1|2|3|5,3,88,3,0,1,9|2|3|4|5|6,,0,1,8,3,1,TRUE,2,5,FALSE,FALSE,0,,FALSE,1,6,TRUE,FALSE,FALSE,72,28/12/2018
,69.6,2,4,,,,,FALSE,,2,1,77,3,0,1,1|2|3|4|5|6,,0,,11,1,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,2,,FALSE,,,
,64.5,1,4,,,,0,FALSE,FALSE,1|2,3,90,3,0,1,9|2|4|5|6,,0,1,8,11,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,3,FALSE,FALSE,FALSE,,
,71.8,1,2,,,,1,FALSE,FALSE,1|2|4,2,128,3,0,1,1|2|3|5|6,,0,,25,3,2,FALSE,1,,FALSE,FALSE,0,,FALSE,1,2,TRUE,TRUE,FALSE,76,28/12/2018
,79.6,2,4,,,,1,FALSE,FALSE,2|3,1,99,3,0,1,2|4|5|6,,0,2,9,3,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,94,FALSE,FALSE,FALSE,5,18/01/2019
,67.8,2,4,,,,,FALSE,,1|2|3|6,3,78,3,0,1,1|2|3|5|6,,0,,11,3,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,,6,17/10/2018
,84.1,1,2,,,,1,FALSE,FALSE,2,2,115,3,0,1,2|5,,0,,100,11|12,3,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,FALSE,50,30/11/2018
,66.6,2,3,,,,,FALSE,,2,3,73,2,0,1,1|2|6,,0,,7,1,2,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,,33,13/11/2018
,77.7,1,2,,,,,FALSE,,2,2,108,3,0,1,1|2|5|6,,0,,22,3,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,,59,10/12/2018
,69.6,2,2,,,,,FALSE,,2,1,67,3,0,1,1|2|4,,0,,10,3,2,FALSE,2,,FALSE,FALSE,0,,FALSE,1,4,,FALSE,,,
,65.6,1,4,,,,,FALSE,,1|2|4,2,125,3,1,1,1|2|3|4|5|6,,0,,8,3,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,3,FALSE,FALSE,FALSE,,
,68.2,1,4,,,,,FALSE,,1|2|3,2,62,3,0,1,1|2|4|5,,0,,27,3,2,TRUE,2,,FALSE,FALSE,0,,FALSE,1,2,,FALSE,,,
,66,2,2,,,,,FALSE,,2|3|4,2,36,3,0,1,1|2,,0,,7,3,2,FALSE,2,,FALSE,FALSE,0,,FALSE,1,17,FALSE,FALSE,,,
,83.8,2,2,,,,1,FALSE,TRUE,2|3,2,103,3,0,1,8|5,,0,,36,3,3,FALSE,2,,FALSE,FALSE,0,,FALSE,1,3,FALSE,FALSE,FALSE,49,30/11/2018
,78.1,2,4,,,,,FALSE,,1|2|4,3,84,3,0,1,1|2|3,,1,,5,3,2,TRUE,2,1,FALSE,FALSE,0,,FALSE,1,8,FALSE,FALSE,,,
,81.4,2,1,,,,5,FALSE,FALSE,2|4,2,87,3,0,1,9|2|3|4|5|6,,0,1,,7|12,2,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,FALSE,57,06/12/2018
,55.3,2,2,,,,0,FALSE,FALSE,1|2|4|6,3,77,3,0,1,9|2|4,,0,,23,3,1,FALSE,2,,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,FALSE,45,24/11/2018
,56.3,1,1,,,,5,FALSE,FALSE,1|2|3|4,1,86,3,0,1,2|3|5|6,,0,2,,1,2,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,3,FALSE,FALSE,FALSE,70,19/12/2018
,72.8,2,4,,,,1,FALSE,TRUE,2|3,2,119,3,0,1,1|2|5|6,,0,,15,3,2,TRUE,4,,FALSE,FALSE,3,,FALSE,0,3,,,,,
,78.3,1,4,,,,,FALSE,,2,2,96,2,0,1,1|2|4|5|6,,0,,11,3,3,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,5,FALSE,FALSE,,85,02/01/2019
,81.3,1,2,,,,,FALSE,,1|2|6,2,108,3,0,1,1|2|4|5|6,,0,,8,3,2,TRUE,1,,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,,37,14/11/2018
,75,1,3,,,,1,FALSE,FALSE,3,2,120,3,0,1,8,,0,,21,3,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,3,,FALSE,FALSE,,
,52.5,2,4,,,,2,FALSE,FALSE,1|2|4,1,88,2,0,1,2|5|6,,0,1,14,3,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,3,FALSE,FALSE,FALSE,113,29/01/2019
,69.1,1,2,,,,,FALSE,,0,2,87,3,0,1,1|2|5|6,,0,,7,3,2,TRUE,4,2,FALSE,FALSE,0,,FALSE,1,5,FALSE,FALSE,,36,15/11/2018
,71.1,1,4,,,,1,FALSE,FALSE,2,3,86,3,0,1,1|2|3|4,,0,,6,3,2,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,4,FALSE,FALSE,FALSE,129,15/02/2019
,79.6,1,2,,,,,FALSE,,1|2|4,3,70,4,0,1,1|2|3|4,,0,,23,4,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,,50,26/11/2018
,0,1,4,,,,,FALSE,,1|2|3|4,1,96,3,0,1,1|2|4|5|6,,0,,8,4,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,,65,11/12/2018
,87.4,1,4,,,,2,FALSE,FALSE,2,2,84,3,0,1,2|5|6,,0,,10,1,3,FALSE,1,,FALSE,FALSE,0,,FALSE,1,3,FALSE,FALSE,FALSE,53,28/11/2018
,76.8,2,4,,,,0,FALSE,FALSE,2,2,74,3,0,1,2|5|6,,0,,5,1,3,FALSE,1,,FALSE,FALSE,0,,FALSE,1,5,FALSE,FALSE,FALSE,73,18/12/2018
,64.7,1,4,,,,0,FALSE,FALSE,0,3,95,2,0,1,1|2|3|5|6,,1,,5,5,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,4,FALSE,FALSE,FALSE,53,29/11/2018
,83.5,2,4,,,,,FALSE,,2,2,81,2,0,1,1|5|6,,0,,7,1,2,TRUE,2,2,FALSE,FALSE,0,,FALSE,1,3,FALSE,FALSE,,38,13/11/2018
,61.1,1,4,,,,,FALSE,,0,3,77,3,0,1,1|2,,1,,7,1,2,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,1,,FALSE,,53,27/11/2018
,83.2,1,5,,,,,FALSE,,1,2,89,3,0,1,5|6,,0,,14,3,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,,47,21/11/2018
,56.1,2,2,,,,5,FALSE,FALSE,2,1,64,3,0,1,9|4|5|6,,0,1,6,3,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,FALSE,87,31/12/2018
,78.3,1,2,,,,2,FALSE,FALSE,1|2|4,2,98,3,0,1,2|3|5|6,,0,2,17,3,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,FALSE,68,13/12/2018
,65.8,2,4,,,,,FALSE,,2,1,82,4,0,1,1|2,,0,,8,4,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,4,FALSE,FALSE,,68,15/12/2018
,47.9,2,2,,,,1,FALSE,FALSE,2,2,62,3,0,1,2|3|5|6,,0,1,6,3,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,3,TRUE,FALSE,FALSE,,
,76.1,1,4,,,,,FALSE,,1|2|4,2,67,3,0,1,1|2|3|4|5|6,,1,,12,2,1,FALSE,1,,FALSE,FALSE,0,,FALSE,1,13,FALSE,FALSE,,39,13/11/2018
,79.1,2,2,,,,2,FALSE,FALSE,0,3,52,2,0,1,1|5|6,,0,,15,3,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,3,FALSE,FALSE,FALSE,94,08/01/2019
,68.4,2,3,,,,,FALSE,,2,1,53,3,0,1,1|2|5|6,,0,,12,1,2,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,,26,31/10/2018
,77.8,1,2,,,,,FALSE,,1|2,3,81,3,0,1,1|2|5|6,,0,,13,2,2,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,,39,12/11/2018
,86.4,1,4,,,,,FALSE,,2|4|6,2,74,3,0,1,1|2|5|6,,0,,17,1,2,FALSE,2,1,FALSE,FALSE,0,,FALSE,1,8,FALSE,FALSE,,34,07/11/2018
,83.2,1,3,,,,,FALSE,,1|3|4,3,93,3,0,1,1|2|5|6,,0,,29,1,2,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,,,
,62.8,1,2,,,,3,FALSE,FALSE,2|4|8,1,79,3,0,1,9|2|3|4|5|6,,0,1,8,3,2,TRUE,1,0,FALSE,FALSE,2|3,,FALSE,1,22,FALSE,TRUE,FALSE,66,24/12/2018
,48.7,2,2,,,,1,FALSE,FALSE,0,3,56,2,0,1,8|5|6,,0,1,16,11|12,2,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,FALSE,19,23/10/2018
,65,1,4,,,,,FALSE,,1|2,2,70,3,0,1,1|2|3|4|5|6,,0,,8,3,2,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,2,TRUE,FALSE,,53,26/11/2018
,60.3,1,2,,,,,FALSE,,2,1,82,3,0,1,1|2|5|6,,0,,32,3,2,FALSE,2,0,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,,,
,56.8,1,3,,,,4,FALSE,FALSE,2|4,3,84,2,0,1,2|5|6,,0,,26,7,2,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,3,FALSE,FALSE,FALSE,84,27/12/2018
,76.3,1,4,,,,1,TRUE,FALSE,2,2,95,2,0,1,3|5|6,,0,,4,4,2,TRUE,2,1,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,FALSE,408,16/11/2019
,76.3,1,2,,,,,FALSE,,2,2,74,2,0,1,1|2,,0,,33,1,2,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,,48,21/11/2018
,80.9,2,4,,,,0,FALSE,FALSE,2,3,55,2,0,1,2|5|6,,0,,4,3,1,TRUE,1,,FALSE,FALSE,0,,FALSE,1,6,FALSE,FALSE,FALSE,117,29/01/2019
,76.3,1,4,,,,,FALSE,,0,2,76,3,0,1,1|2|6,,0,,12,3,2,FALSE,2,0,FALSE,FALSE,0,,FALSE,1,9,,FALSE,,,
,69.7,1,3,,,,1,FALSE,FALSE,2|4,1,53,3,0,1,1|2|5,,0,,10,3,3,FALSE,2,1,FALSE,FALSE,0,,FALSE,1,2,TRUE,FALSE,FALSE,35,08/11/2018
,55.5,1,4,,,,4,FALSE,FALSE,1,1,63,4,0,1,2|5|6,,0,1,15,3,2,TRUE,2,0,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,FALSE,110,21/01/2019
,79.5,1,4,,,,,FALSE,,2,2,74,3,0,1,1|2|5|6,,0,,7,3,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,5,FALSE,FALSE,,,
,77.5,1,2,,,,2,FALSE,FALSE,1,3,118,3,0,1,2|4|5|6,,0,,255,3,2,TRUE,1,,FALSE,FALSE,0,,FALSE,1,4,FALSE,FALSE,FALSE,98,07/01/2019
,73.4,2,2,,,,,FALSE,,1|2,1,70,3,0,1,1|2,,0,,23,3,2,TRUE,2,,FALSE,FALSE,0,,FALSE,1,8,,FALSE,,,
,58.4,1,2,,,,,FALSE,,2,2,72,2,0,1,1|2|5|6,,0,,3,3,2,TRUE,2,1,TRUE,FALSE,5,,FALSE,1,34,FALSE,FALSE,,,
,78.8,1,4,,,,1,FALSE,FALSE,2|8,3,92,3,0,1,8|2|5|6,,0,,7,3,2,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,9,FALSE,FALSE,FALSE,89,31/12/2018
,84.8,1,2,,,,,FALSE,,1|2|3|5,2,70,3,0,1,1|2|3|4|5|6,,0,,3,3,2,TRUE,1,,FALSE,FALSE,0,,FALSE,1,20,FALSE,FALSE,,,
,87.5,1,2,,,,,FALSE,,2|4|5|6,3,128,3,1,1,1|2|5|6,,0,,8,3,2,TRUE,4,1,FALSE,FALSE,0,,FALSE,1,3,FALSE,FALSE,,,
,90.9,2,4,,,,,FALSE,,2,1,60,3,0,1,1|2,,0,,5,1,3,FALSE,4,1,FALSE,FALSE,0,,FALSE,1,27,FALSE,FALSE,,,
,77.4,1,4,,,,1,FALSE,FALSE,2,2,89,2,0,1,2|5|6,,1,,6,3,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,FALSE,,
,82.1,1,3,,,,2,FALSE,FALSE,1|2|4,3,108,2,0,1,8|2|5|6,,0,1,7,7,2,FALSE,2,1,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,FALSE,,
,77.9,1,2,,,,,FALSE,,0,3,71,3,0,1,1|2,,0,,17,1,2,FALSE,2,0,FALSE,FALSE,0,,FALSE,1,3,,FALSE,,,
,71.8,1,1,,,,,FALSE,,1|2,2,45,3,0,1,1|2|3|4|5|6,,0,,,3,2,TRUE,1,,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,,,
,70.5,1,4,,,,1,FALSE,FALSE,1|4,2,120,4,0,1,2|8,,0,,88,7,2,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,2,,FALSE,FALSE,,
,81,1,2,,,,,FALSE,,2,2,75,3,0,1,4|5|6,,0,,5,,3,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,3,FALSE,TRUE,,,
