Column,Name of Column,Test question,Data Type,Data Processing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,66.5,2,4,,,,,FALSE,,2,1,55,3,0,4,1|2|5|6,,0,,10,3,2,TRUE,2,2,FALSE,TRUE,0,,FALSE,1,10,FALSE,FALSE,,467,27/06/2018
,87.6,1,4,,,,,FALSE,,3,3,80,4,0,4,1|2|5|6,,0,,12,2,2,FALSE,2,0,FALSE,FALSE,0,,FALSE,1,13,TRUE,FALSE,,28,17/03/2017
,69.1,1,3,,,,,FALSE,,0,2,102,3,0,4,1|2,,0,,7,3,2,TRUE,2,0,TRUE,FALSE,5,,FALSE,1,6,FALSE,FALSE,,28,07/03/2017
,76.9,2,4,,,,,FALSE,,2,3,73,3,0,4,1|2|3|5|6,,1,,8,1,2,TRUE,2,2,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,,8,13/02/2017
,69.6,2,4,,,,,FALSE,,2|3,2,87,4,0,4,1|2|4|5|6,,0,,66,1,2,TRUE,2,1,FALSE,FALSE,0,,FALSE,1,3,FALSE,FALSE,,,
,75.8,1,4,,,,,FALSE,,2|3|4,1,80,3,0,4,1|2|5|6,,0,,9,4,2,TRUE,2,1,FALSE,FALSE,0,,FALSE,1,11,FALSE,FALSE,,125,30/05/2017
,74.9,2,4,,,,,FALSE,,1|2|6,3,155,4,0,4,1|2|3,,0,,52,1,2,FALSE,2,2,FALSE,FALSE,0,,FALSE,1,4,FALSE,FALSE,,39,01/03/2017
,90.5,1,4,,,,,FALSE,,2|4,2,74,3,1,4,1|4,,0,,2,2,2,FALSE,4,0,FALSE,FALSE,0,,FALSE,1,16,FALSE,FALSE,,16,15/02/2017
,74.8,2,2,,,,,FALSE,,1|2|6,2,155,3,0,4,1|2|3,,0,,48,2,2,FALSE,2,2,FALSE,FALSE,0,,FALSE,1,109,FALSE,FALSE,,0,15/03/2017
,65.6,1,4,,,,,FALSE,,0,3,70,3,0,4,0,,0,,9,4,2,TRUE,2,,FALSE,FALSE,0,,FALSE,1,11,,FALSE,,,
,88.8,1,2,,,,3,FALSE,FALSE,0,2,111,3,0,3,8|2|7,3,0,,24,3|12,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,3,FALSE,FALSE,FALSE,80,22/03/2022
